3042.0,3073.0,3103.0,3134.0,3165.0,3195.0,3226.0,3256.0,3287.0,3318.0,3346.0,3377.0,3407.0,3438.0,3468.0,3499.0,3530.0,3560.0,3591.0,3621.0,3652.0,3683.0,3711.0,3742.0,3772.0,3803.0,3833.0,3864.0,3895.0,3925.0,3956.0,3986.0,4017.0,4048.0,4077.0,4108.0,4138.0,4169.0,4199.0,4230.0,4261.0,4291.0,4322.0,4352.0
22.996,31.516,36.228,39.387,41.643,43.339,44.78,45.944,46.966,47.852,48.562,49.275,49.906,50.502,51.029,51.534,52.003,52.428,52.843,53.222,53.591,53.942,54.243,54.563,54.859,55.152,55.424,55.694,55.954,56.197,56.439,56.666,56.893,57.113,57.312,57.52,57.715,57.911,58.096,58.282,58.463,58.634,58.807,58.97
27.991,33.536,36.928,38.772,40.172,41.684,42.703,43.327,44.252,45.09,45.734,46.357,47.117,47.75,47.882,48.548,49.19,49.23,49.782,50.491,50.947,51.394,51.915,52.486,52.703,53.149,53.919,54.337,54.75,55.551,55.952,56.558,57.018,57.463,57.178,57.609,58.318,58.71,59.496,59.879,60.258,60.907,61.342,61.466
20.509,30.125,35.53,39.135,41.689,43.576,45.138,46.393,47.497,48.455,49.221,49.983,50.649,51.276,51.834,52.367,52.861,53.308,53.742,54.138,54.524,54.889,55.204,55.537,55.844,56.148,56.43,56.71,56.979,57.23,57.48,57.715,57.949,58.175,58.381,58.594,58.794,58.996,59.185,59.376,59.562,59.737,59.914,60.081
23.921,37.642,44.648,49.176,52.344,54.674,56.601,58.146,59.508,60.689,61.635,62.576,63.4,64.177,64.868,65.528,66.143,66.698,67.238,67.73,68.211,68.667,69.06,69.475,69.859,70.239,70.592,70.942,71.28,71.594,71.908,72.202,72.496,72.78,73.039,73.307,73.559,73.812,74.051,74.291,74.526,74.747,74.97,75.181
22.683,35.707,44.085,49.869,53.97,56.971,59.425,61.372,63.065,64.516,65.666,66.799,67.781,68.699,69.509,70.277,70.986,71.624,72.239,72.796,73.338,73.85,74.288,74.749,75.173,75.592,75.979,76.362,76.73,77.071,77.411,77.728,78.044,78.349,78.626,78.912,79.18,79.449,79.702,79.956,80.203,80.436,80.67,80.89
31.074,37.457,40.501,42.505,43.865,44.816,45.563,46.14,46.635,47.057,47.394,47.728,48.021,48.299,48.548,48.787,49.011,49.215,49.413,49.596,49.774,49.945,50.092,50.248,50.392,50.536,50.67,50.803,50.931,51.051,51.171,51.284,51.396,51.505,51.605,51.708,51.805,51.903,51.995,52.088,52.179,52.264,52.351,52.432
10.875,22.61,32.657,40.787,47.017,51.733,55.643,58.754,61.456,63.764,65.586,67.372,68.913,70.347,71.608,72.8,73.896,74.879,75.824,76.679,77.509,78.29,78.958,79.66,80.306,80.941,81.529,82.109,82.665,83.182,83.695,84.173,84.65,85.11,85.527,85.958,86.362,86.767,87.147,87.529,87.901,88.251,88.603,88.935
26.607,37.202,43.011,47.23,50.58,53.364,55.953,58.278,60.557,62.749,64.679,66.778,68.784,70.84,72.823,74.869,76.916,78.903,80.963,82.966,85.047,87.139,89.04,91.158,93.22,95.363,97.451,99.62,101.803,103.927,106.133,108.279,110.507,112.746,114.848,117.104,119.295,121.567,123.772,126.056,128.345,130.566,132.864,135.091
22.527,34.926,40.977,44.747,47.312,49.16,50.665,51.857,52.897,53.792,54.505,55.209,55.823,56.399,56.909,57.395,57.845,58.251,58.643,59.0,59.347,59.675,59.956,60.252,60.525,60.793,61.042,61.287,61.523,61.741,61.958,62.16,62.361,62.555,62.731,62.912,63.082,63.251,63.411,63.571,63.726,63.871,64.018,64.156
21.529,32.856,38.652,42.398,45.026,46.961,48.562,49.848,50.98,51.964,52.752,53.537,54.224,54.871,55.448,55.999,56.512,56.976,57.426,57.837,58.238,58.619,58.947,59.293,59.614,59.931,60.226,60.519,60.8,61.063,61.325,61.57,61.816,62.053,62.269,62.493,62.703,62.915,63.114,63.315,63.511,63.695,63.881,64.057
42.351,42.657,42.838,43.007,43.165,43.303,43.429,43.534,43.629,43.714,43.785,43.857,43.922,43.984,44.04,44.093,44.141,44.183,44.222,44.256,44.288,44.315,44.338,44.36,44.378,44.395,44.409,44.422,44.433,44.442,44.45,44.457,44.463,44.468,44.472,44.476,44.479,44.482,44.484,44.486,44.488,44.489,44.49,44.491
26.842,30.491,32.228,33.32,34.073,34.621,35.066,35.418,35.722,35.98,36.183,36.381,36.551,36.708,36.846,36.976,37.095,37.201,37.304,37.396,37.486,37.57,37.642,37.718,37.788,37.857,37.921,37.983,38.044,38.1,38.155,38.207,38.259,38.309,38.354,38.401,38.445,38.489,38.53,38.571,38.611,38.649,38.687,38.723
29.906,39.841,45.975,50.242,53.33,55.64,57.566,59.121,60.493,61.685,62.641,63.591,64.423,65.206,65.903,66.569,67.187,67.746,68.288,68.781,69.264,69.72,70.113,70.528,70.911,71.29,71.641,71.99,72.325,72.638,72.949,73.241,73.532,73.813,74.069,74.334,74.583,74.833,75.068,75.305,75.535,75.753,75.972,76.179
