,log_l2,log_l3,log_n4,ls_2,ls_3,s_1,n_4,n_1,n_2
0,8.838573346615082,-0.38024614595146844,0.7826864133384298,6895.148632895039,0.6836931002102522,455.0851437119628,2.1873404803858714,9.736769515750098,64.33738503723268
1,8.72443046091145,-0.4441971230770938,0.8675866685470824,6151.372218747333,0.6413389856517719,360.79850174839544,2.3811573917836744,8.748889503778095,69.31831260335491
2,8.573820932154709,-0.5216350272497368,0.9066413562603367,5291.308946544293,0.5935492849108932,312.3909728506633,2.475992575571587,7.8524737584591175,83.67804419052682
3,8.143368896505224,-0.37921324564684755,0.7980257128488849,3440.4890174691136,0.6843996518576152,350.78831434440883,2.2211514061476403,6.786484092400985,63.61825648700179
4,8.714225481610882,-0.52731964793052,0.693940621867781,6088.916812664305,0.5901847544708555,263.69057724550555,2.0015875123313167,8.262038336023023,49.54883137836752
5,8.384100488662389,-0.42119495056810835,0.7953421354661444,4376.919689227521,0.6562621502584808,351.3552607887226,2.2151987652291,8.797428438682564,70.97201756067788
6,8.512658531488661,-0.4889063159423681,0.799308570503422,4977.37803059607,0.6132967804335734,432.17670232109765,2.224002655713537,8.215131578145312,73.8819314640308
7,8.745521288602637,-0.3620152543663238,0.7987860155497052,6282.487555541395,0.6962717465764776,332.3710981000065,2.222840795703005,9.17208667931035,51.7321706072125
8,8.743303683356624,-0.572728167278835,0.6954131958180524,6268.570914691331,0.5639846933634676,283.5998466307324,2.0045371692220932,13.33794315629531,75.64556212329157
9,8.433037949043293,-0.5462491377139991,0.7555328698259125,4596.442662419157,0.5791179332884446,278.4611550259665,2.128745565458933,9.600712738636668,65.03257354487563
10,8.511046597387335,-0.5108351513022216,0.8368422258657829,4969.361288179446,0.5999942835054936,220.66729440096248,2.309063949779874,7.581441290171092,67.5607133220518
11,8.377105900526356,-0.3649238442906836,0.7721471653820252,4346.4117582842,0.6942495199294461,351.85433872437017,2.1644086112894083,9.190098924491867,87.82108208117758
12,8.584727486360851,-0.4662270907561854,0.6091933163158942,5349.334749982725,0.6273647991228115,355.5713121139486,1.8389473514593822,10.27109288705818,73.55695894195057
13,8.732220283524995,-0.43053309819707536,0.8687259574025097,6199.477439472209,0.6501624019166041,363.20944995407234,2.383871763796444,6.483694506960731,101.05770856370168
14,8.564893953012318,-0.466511533892138,0.6630566019985513,5244.283750703586,0.6271863748889401,344.6572259999438,1.9407152719380927,7.130940074907007,63.066536171656765
15,8.366749338090372,-0.49996485898221593,0.7659777583019894,4301.630165484007,0.606551974191837,281.97718155846206,2.1510965993122944,12.83686569367915,71.65627566994375
16,8.209115276299428,-0.4201707801104224,0.7903258723053441,3674.290296134563,0.6569346188677339,335.2706345172748,2.2041145691340303,6.271239659982939,78.08975656953154
17,8.914784508104788,-0.4442765467554186,0.8613247306062545,7441.178442584285,0.6412880501732467,359.3211569854985,2.3662933194887477,5.239887451107818,61.62567105155619
18,8.652479147358134,-0.35845588391590477,0.7715833908221319,5724.320591224123,0.6987544514687795,359.9462815538842,2.163188716682233,7.259570055727892,97.87669856555928
19,8.227259510438788,-0.44086755327595667,0.7955629505191988,3741.5659666626248,0.643477927472705,325.4563644377758,2.2156879684717024,8.704571418367706,68.65562168211964
